N,reduced_dim,max_rel_err
10,192,0.014217127138319434
12,300,0.0005178161708913509
14,432,5.139109297245612e-06
16,588,4.130320360849777e-07
18,768,1.3739508747448244e-08
20,972,3.733912683382651e-10
