blend_width_rad,normal_force_N,pitching_moment_Nm,trim_alpha_deg
0.0,33667.88043795247,6496.605218059812,5.2078461782076655
0.0025,33667.52367525269,6496.046853851344,5.207910413500402
0.005,33666.80268893347,6494.937584057387,5.208156494834401
0.01,33664.729391493085,6488.477592023051,5.209256919498349
0.02,33655.93227017607,6464.471354635837,5.214275114849004
0.04,33620.83141106027,6345.051689833138,5.234388189105866
