N_MC,cpu_rep_per_s,gpu_rep_per_s
256,10192.173841329235,1514.3704975423773
1024,15286.94293343753,6012.127588835746
4096,17386.738040688007,24206.65195402645
16384,17829.434152111266,71461.07748437773
65536,15441.23290035528,84632.83529173925
