h_over_L,lambda1,lambda2,lambda3
0.2,11.710193614212214,17.377194611229797,21.191614143677764
0.1,12.734598842250382,18.93309462247075,23.322218731562913
0.05,13.146590760760418,19.415553214340505,24.00787069606235
0.02,13.29041409829134,19.549373017229833,24.193716399096925
0.01,13.305003412879525,19.561699836463337,24.20447184014202
0.005,13.307386208595052,19.56309491621461,24.204513532364523
0.002,13.307781537792273,19.56279610927391,24.204320106799408
0.001,13.30977950614894,19.562471797317723,24.205646176298874
