revolutions,energy_drift,energy_drift_per_orbit,hz_drift
0.25,7.594475926590089e-16,3.0377903706360356e-15,5.907600052253193e-16
0.5,1.3037183673979653e-14,2.6074367347959306e-14,6.143904054343321e-15
1.0,1.6581272439721695e-14,1.6581272439721695e-14,8.625096076289662e-15
2.0,3.5947186052526426e-14,1.7973593026263213e-14,1.8549864164075025e-14
