N,reduced_dim,kappa_interior_ruiz,kappa_interior_column,kappa_projected_ruiz
8,100,100.86811239522874,441.66156637785247,15205.98008327505
10,184,105.09861835396117,493.71427128020275,49293.100397053495
12,292,107.17002603408837,719.3853498867405,37777.56467953605
14,424,108.02011625733466,971.2160948432852,106274.97593792509
16,580,108.305358899089,1222.2248501454822,215246.7838371791
18,760,108.3802585900532,1469.5360546122458,212379.84539142935
