tof_over_tmin,prograde,time_of_flight,iterations,rel_error
1.6,False,47106.30635801991,3,1.5543842288335458e-11
4.0,True,117765.76589504976,3,5.67562545625713e-11
4.0,False,117765.76589504976,3,3.7077056310445473e-13
0.15,True,1887.4109319060617,3,5.534157673017263e-13
0.4,True,5033.095818416165,2,1.1775684018665123e-12
0.9,True,11324.46559143637,3,1.5524240183898222e-11
1.6,False,20132.38327366466,3,4.4830191334385975e-11
4.0,False,50330.958184161645,3,1.1846907729344014e-11
0.15,True,2378.2326173905567,3,1.909721590253415e-13
0.4,True,6341.953646374818,5,3.4713448994070345e-13
0.9,True,14269.39570434334,3,3.63724292173037e-13
1.6,False,25367.814585499273,3,9.472077526840035e-12
4.0,False,63419.536463748176,3,2.4220783168099973e-10
0.15,False,1757.2843908353414,3,6.780267653008576e-14
0.4,False,4686.091708894243,5,4.767464250100445e-14
1.6,True,18744.366835576973,3,4.945657764095585e-12
4.0,True,46860.917088942435,3,1.597438756325754e-11
0.15,True,2824.3936339836396,3,2.005406660199245e-13
0.4,True,7531.716357289706,2,9.33289279670479e-13
0.9,True,16946.36180390184,3,4.3148439985503685e-14
0.9,False,16946.36180390184,3,1.2686962969445183e-12
1.0,True,18829.290893224264,1,6.767305641280532e-14
1.0,False,18829.290893224264,3,9.863055522065181e-13
1.6,True,30126.865429158825,3,1.465023120343674e-11
1.6,False,30126.865429158825,3,4.3617154251289564e-13
4.0,True,75317.16357289706,3,1.639648635853093e-12
4.0,False,75317.16357289706,3,4.522176912292258e-11
0.15,True,2862.347448780626,3,1.5284671748551256e-13
0.4,True,7632.92653008167,5,6.325490793497831e-13
0.9,True,17174.08469268376,3,7.427291839548271e-13
1.0,True,19082.316325204174,1,4.0196078893407717e-13
1.6,False,30531.70612032668,3,1.4955233963530545e-11
4.0,False,76329.2653008167,3,1.522940591103315e-11
0.15,False,3315.0923140670284,3,7.644824079336561e-13
0.4,False,8840.24617084541,2,1.1074897253125184e-12
0.9,True,19890.553884402172,3,9.732208553160525e-12
0.9,False,19890.553884402172,3,2.0626511708904435e-11
1.0,True,22100.615427113524,3,1.2831253417267428e-11
1.0,False,22100.615427113524,1,9.452474096372577e-12
1.6,True,35360.98468338164,3,5.4622065768382486e-11
1.6,False,35360.98468338164,3,1.4556869336785749e-12
4.0,True,88402.4617084541,3,8.812227229986495e-12
0.15,True,3069.780709780612,3,1.771238465957653e-13
0.4,True,8186.0818927483,2,1.842405336074179e-13
0.9,True,18418.684258683676,3,6.330865703455563e-13
0.9,False,18418.684258683676,3,1.719310009468795e-11
1.0,True,20465.20473187075,1,2.2436374711270496e-12
1.0,False,20465.20473187075,3,2.4533964871611977e-12
1.6,True,32744.3275709932,3,2.175462660437389e-11
1.6,False,32744.3275709932,3,1.444601078690383e-13
4.0,True,81860.818927483,3,3.777474179306405e-13
4.0,False,81860.818927483,3,1.6823929668306635e-10
0.15,False,3020.402176650826,3,6.059048832197956e-14
0.4,False,8054.405804402202,5,3.597720014368712e-13
0.9,True,18122.413059904957,4,3.2078976795744824e-12
0.9,False,18122.413059904957,3,8.42184519904989e-14
1.0,True,20136.014511005505,3,7.129975049894707e-13
1.0,False,20136.014511005505,1,1.4877207429891385e-12
1.6,True,32217.62321760881,3,1.5385261996566588e-12
1.6,False,32217.62321760881,3,3.753415953561337e-13
4.0,True,80544.05804402202,3,5.428604008550997e-12
0.15,True,3104.142625256762,3,2.2089233076142776e-13
0.4,True,8277.713667351365,2,2.0859725899276556e-13
0.9,True,18624.855751540574,3,4.078548142352891e-11
0.9,False,18624.855751540574,3,7.69344761341835e-12
1.0,True,20694.284168378414,1,1.3637082374934513e-11
1.0,False,20694.284168378414,3,9.533588971424995e-12
1.6,True,33110.85466940546,3,6.038253036405346e-13
1.6,False,33110.85466940546,3,6.669413341664557e-11
4.0,False,82777.13667351365,3,1.1509403554195328e-10
0.15,True,6218.096292603436,3,3.7076774249507907e-13
0.4,True,16581.590113609167,2,4.104779167352434e-13
0.4,False,16581.590113609167,2,3.244526886217893e-13
0.9,True,37308.57775562062,3,9.371675942315401e-14
0.9,False,37308.57775562062,3,6.080852099818411e-13
1.0,True,41453.97528402291,1,1.0124302770498209e-13
1.0,False,41453.97528402291,3,3.6402226469887224e-13
1.6,True,66326.36045443667,3,1.0440356311679736e-11
1.6,False,66326.36045443667,3,4.2040426849651735e-13
4.0,True,165815.90113609165,3,3.41765296009791e-12
4.0,False,165815.90113609165,3,2.053718486967806e-11
1.6,True,11735.653173846975,3,1.2708231491253474e-10
0.15,False,2591.3096624447335,3,2.7816374674604075e-13
0.4,True,6910.159099852623,2,1.185255945487737e-13
0.4,False,6910.159099852623,2,7.682633681331986e-13
0.9,True,15547.8579746684,3,1.187546275809579e-12
0.9,False,15547.8579746684,3,8.916433868642389e-14
1.0,True,17275.397749631557,3,8.168903525813884e-13
1.0,False,17275.397749631557,1,4.1820689706090774e-14
1.6,True,27640.63639941049,3,7.908561348465626e-13
1.6,False,27640.63639941049,3,1.668282690022636e-11
4.0,True,69101.59099852623,3,2.5371451956189578e-11
4.0,False,69101.59099852623,3,4.724672706028642e-12
0.15,False,1360.8588328238104,3,2.8712072364735175e-13
0.4,False,3628.9568875301616,2,1.7359014923402804e-12
0.4,False,1725.1786296342598,2,6.631846818817264e-13
4.0,True,17251.786296342598,3,5.020081487537617e-12
0.15,False,1410.6081345952482,3,4.428280066396103e-14
0.15,True,2262.665406416538,3,1.6602292698575245e-14
4.0,False,60337.74417110769,3,1.167339567251952e-12
0.15,True,1862.9659621779424,3,7.275712134932637e-14
0.4,True,4967.909232474514,2,1.0259864784213385e-13
0.15,False,3712.085759817269,3,3.122636800779386e-14
0.4,False,9898.895359512717,2,4.275721185186062e-13
0.9,True,22272.514558903615,3,2.396472303030175e-12
0.9,False,22272.514558903615,3,2.4574512512924223e-13
1.0,True,24747.238398781792,3,1.4774271556913583e-12
1.0,False,24747.238398781792,1,3.226047441468087e-13
1.6,True,39595.58143805087,3,1.9411903805553643e-12
1.6,False,39595.58143805087,3,6.358800871808313e-13
4.0,True,98988.95359512717,3,3.385540825302569e-12
4.0,False,98988.95359512717,3,7.090806461431788e-13
0.15,True,2682.3665015512015,3,2.215645935204318e-13
0.4,True,7152.977337469871,2,2.7905659481011367e-13
0.9,True,16094.199009307209,3,2.102324170676115e-13
0.9,False,16094.199009307209,3,1.206957746018311e-12
1.0,True,17882.443343674677,1,1.998171485361866e-12
1.0,False,17882.443343674677,3,2.1240143804288353e-12
1.6,True,28611.909349879483,3,6.057348073006683e-13
1.6,False,28611.909349879483,3,7.647541959299073e-13
4.0,False,71529.7733746987,3,7.871249798379436e-13
0.15,True,3907.8686671495716,3,1.1138278086870664e-12
0.4,True,10420.983112398859,2,7.910634547681362e-13
0.4,False,10420.983112398859,2,9.246645328040973e-13
0.9,True,23447.21200289743,3,6.501373134488452e-13
0.9,False,23447.21200289743,3,5.869053267988591e-13
1.0,True,26052.457780997145,1,9.780335174849509e-13
1.0,False,26052.457780997145,2,5.771851785608742e-13
1.6,True,41683.932449595435,3,2.837483228582074e-12
1.6,False,41683.932449595435,3,6.020235165030346e-13
4.0,True,104209.83112398858,3,1.1960213035336107e-12
4.0,False,104209.83112398858,3,4.0705198084547915e-13
0.15,True,3466.62158056559,3,2.5456591793141993e-13
0.4,True,9244.324214841574,2,6.071609426961039e-13
0.9,True,20799.72948339354,3,7.66670639439603e-14
0.9,False,20799.72948339354,3,4.227167989384466e-12
1.0,True,23110.810537103935,1,5.092397235933733e-13
1.0,False,23110.810537103935,3,1.1500730443520678e-12
1.6,True,36977.296859366295,3,2.4765554561229907e-11
1.6,False,36977.296859366295,3,2.6581155734262617e-13
4.0,True,92443.24214841574,3,5.274422246481217e-13
4.0,False,92443.24214841574,3,4.138238457212067e-11
0.15,False,1216.6494558054917,3,3.8069127695449525e-13
0.4,False,3244.398548814645,5,5.017990062209272e-13
1.6,True,12977.59419525858,3,6.102652342448746e-11
4.0,True,32443.98548814645,3,4.115877707034795e-11
0.15,True,480.2185247822317,3,3.140817419327126e-14
4.0,False,12805.82732752618,3,6.391971732794626e-12
0.15,False,2446.3410384604745,3,6.442031962250655e-14
0.15,False,1516.6780401857357,3,5.500961487634845e-14
4.0,True,40444.747738286285,3,1.5462342182499933e-12
0.15,True,1572.3385205229918,3,1.4634616727056656e-13
0.4,True,4192.902721394646,5,4.331000180950874e-13
0.9,True,9434.031123137951,3,6.438190604839982e-12
1.0,True,10482.256803486613,1,1.5463762485931317e-11
1.6,False,16771.610885578582,3,1.5415402102463638e-12
4.0,False,41929.02721394645,3,3.1594727877562014e-13
0.15,False,2984.9039366978504,3,8.207921827608432e-13
0.4,False,7959.743831194268,2,7.924636373834291e-13
0.9,False,17909.423620187103,3,3.5804803313205318e-12
1.0,True,19899.35957798567,3,7.381962561003378e-12
1.0,False,19899.35957798567,1,2.6243079781977375e-12
1.6,True,31838.97532477707,3,1.1134525565970957e-11
4.0,True,79597.43831194268,3,8.613253007817584e-12
0.4,True,3599.9591382217077,2,1.215128948789841e-12
0.9,True,8099.908060998842,3,1.766907711261975e-13
0.9,False,8099.908060998842,3,8.212217767593788e-13
1.0,True,8999.89784555427,1,1.68243879588668e-13
1.0,False,8999.89784555427,3,4.458300660650536e-13
1.6,True,14399.83655288683,3,6.498330338574083e-12
1.6,False,14399.83655288683,3,7.806069626153232e-13
4.0,True,35999.59138221708,3,7.856558802647403e-12
4.0,False,35999.59138221708,3,1.8609836985304752e-11
0.15,False,4351.02250677914,3,2.645616440311093e-13
0.4,True,11602.726684744373,2,1.1517914258410467e-12
0.4,False,11602.726684744373,2,6.739890363312024e-13
0.9,True,26106.13504067484,3,8.747626373263328e-13
0.9,False,26106.13504067484,3,3.8192627460029506e-14
1.0,True,29006.81671186093,3,8.296060929992747e-13
1.0,False,29006.81671186093,1,8.610737091139859e-14
1.6,True,46410.906738977494,3,3.5882306665268364e-13
1.6,False,46410.906738977494,3,1.222022282214632e-11
4.0,True,116027.26684744372,3,2.4975825677182496e-11
4.0,False,116027.26684744372,3,1.0090712148541921e-12
0.15,False,588.667393572186,3,6.655272799163121e-14
0.4,False,1569.7797161924962,5,4.770021057796493e-13
4.0,True,15697.79716192496,3,3.24201207127267e-12
0.15,False,2411.977149076764,3,1.7305978969855522e-14
0.15,True,4444.889853211032,3,3.5778010246315183e-13
0.4,True,11853.039608562753,2,5.106726654185354e-13
0.9,True,26669.339119266195,3,2.8611293626004027e-13
0.9,False,26669.339119266195,3,4.488560619411308e-12
1.0,True,29632.59902140688,1,1.6071441923595303e-12
1.0,False,29632.59902140688,3,4.6291616105122605e-12
1.6,True,47412.15843425101,3,1.7377650100857834e-12
1.6,False,47412.15843425101,3,2.5967218184349607e-13
4.0,True,118530.39608562752,3,6.3230135001769e-13
4.0,False,118530.39608562752,3,1.4305525553533913e-11
0.15,False,463.3630579522776,3,8.678991677840918e-14
0.4,False,1235.6348212060739,5,6.289405870863556e-13
4.0,True,12356.348212060737,3,6.585882670436679e-12
0.15,False,2559.748543696499,3,3.8924735730245305e-13
0.4,False,6825.996116523998,2,3.1500987540174034e-13
0.9,True,15358.491262178995,3,1.3177258859600402e-12
0.9,False,15358.491262178995,3,3.0311966566555653e-14
1.0,True,17064.990291309994,3,1.1125610419316418e-12
1.0,False,17064.990291309994,1,1.3248230474400753e-13
1.6,True,27303.984466095993,3,5.079321413862538e-13
1.6,False,27303.984466095993,3,7.022607028292506e-13
4.0,True,68259.96116523998,3,2.3937267201916654e-11
0.15,True,3459.332777984387,3,1.586594424684736e-13
0.4,True,9224.887407958367,2,2.6441193255618174e-13
0.9,True,20755.996667906325,3,7.240951566252986e-14
0.9,False,20755.996667906325,3,2.6817611472411195e-12
1.0,True,23062.218519895916,1,4.569215408042214e-13
1.0,False,23062.218519895916,3,1.4912160170387494e-12
1.6,True,36899.54963183347,3,1.178166014831652e-12
1.6,False,36899.54963183347,3,3.6666181120989366e-13
4.0,True,92248.87407958366,3,9.25735176760486e-13
4.0,False,92248.87407958366,3,3.1763795028224864e-12
0.9,True,3634.5585135990837,3,2.722798748367685e-13
1.0,True,4038.398348443426,1,2.349869162156603e-13
1.0,False,4038.398348443426,3,8.000596559734962e-13
1.6,False,6461.437357509482,3,1.265093284057091e-12
0.15,False,4205.126550165649,3,3.4977340171049437e-13
0.4,True,11213.67080044173,2,6.147292543053361e-13
0.4,False,11213.67080044173,2,5.946210433808157e-13
0.9,True,25230.759300993894,3,1.4138205977615358e-12
0.9,False,25230.759300993894,3,4.424512384351905e-14
1.0,True,28034.177001104326,3,7.869735597618279e-13
1.0,False,28034.177001104326,1,2.3774794534247616e-13
1.6,True,44854.68320176692,3,4.566122680108629e-13
1.6,False,44854.68320176692,3,1.1911296646727804e-11
4.0,True,112136.7080044173,3,5.5545257933489044e-11
4.0,False,112136.7080044173,3,3.0154398327488404e-13
0.15,True,3551.5991391101006,3,2.383314172711655e-13
0.4,True,9470.931037626935,2,1.9950079255308978e-13
0.9,True,21309.594834660606,3,1.8412772794061698e-10
0.9,False,21309.594834660606,3,1.9413039604415142e-11
1.0,True,23677.327594067337,1,5.4699899716682236e-11
1.0,False,23677.327594067337,3,1.4567168839641358e-10
1.6,True,37883.72415050774,3,3.801756256697191e-12
1.6,False,37883.72415050774,3,4.731600136080416e-11
4.0,True,94709.31037626935,3,6.077890509915558e-13
4.0,False,94709.31037626935,3,4.506715041321703e-11
0.15,False,1365.90228600326,3,3.885603584269698e-14
0.15,True,1982.2304489205706,3,4.873881055848363e-13
0.4,True,5285.947863788188,2,6.157761085774625e-13
0.9,True,11893.382693523425,3,1.162884942052836e-13
0.9,False,11893.382693523425,3,2.0087365153118153e-12
1.0,True,13214.86965947047,1,3.554711844554114e-14
1.0,False,13214.86965947047,3,1.5375119020031076e-12
1.6,True,21143.791455152754,3,5.3231831573843655e-12
1.6,False,21143.791455152754,3,8.859491741164093e-13
4.0,True,52859.47863788188,3,4.642806994296029e-12
4.0,False,52859.47863788188,3,1.369871995979133e-11
0.9,True,4906.874430126915,3,1.0739118460277802e-12
0.9,False,4906.874430126915,3,8.33000862427121e-13
1.0,True,5452.082700141017,2,7.818043103438693e-13
1.0,False,5452.082700141017,1,1.056462068414337e-12
1.6,True,8723.332320225627,3,1.6251921494284904e-12
0.15,False,3530.809843261941,3,5.366209863366948e-13
0.4,True,9415.492915365176,2,1.1537487775815397e-12
0.4,False,9415.492915365176,2,7.448193781611897e-13
0.9,True,21184.859059571645,3,2.2340378050428254e-12
0.9,False,21184.859059571645,3,3.7372883068264583e-13
1.0,True,23538.73228841294,3,1.617558520326205e-12
1.0,False,23538.73228841294,1,3.3342435541794334e-13
1.6,True,37661.9716614607,3,1.856744592814935e-12
1.6,False,37661.9716614607,3,3.5471321677026447e-13
4.0,True,94154.92915365176,3,9.687974694163165e-12
4.0,False,94154.92915365176,3,4.600714257888518e-12
0.15,False,2878.9026938853262,3,1.1606150197907555e-13
0.4,False,7677.073850360871,2,1.0838349419986164e-12
0.9,True,17273.41616331196,3,4.444523332108578e-12
0.9,False,17273.41616331196,3,1.6284116461070893e-13
1.0,True,19192.684625902177,3,4.699189244795493e-12
1.0,False,19192.684625902177,1,1.5727670978637592e-13
1.6,True,30708.295401443484,3,3.4767686622301517e-12
1.6,False,30708.295401443484,3,1.0829881093035814e-12
4.0,True,76770.7385036087,3,5.344702646137984e-12
0.15,False,967.6514250983429,3,3.152041612541251e-13
0.4,False,2580.403800262248,5,8.869434830679111e-13
0.4,True,6743.511640202931,2,2.532119920298507e-12
4.0,False,67435.1164020293,3,5.380785905481405e-12
