strategy,dt,steps,max_rel_err,wall_s
explicit_rk45,3.654970760233918e-05,1368,1.5164708175495945e-06,0.03720857802545652
imex_newmark,0.0001,500,0.0001789351084705844,0.0047712980303913355
modal_truncation,0.0001,500,3.183339419318003e-15,0.005069916020147502
