x_s,xs_over_sigma,rel_moment_err
2.0,5.0,5.9468753521585424e-08
1.2,2.9999999999999996,0.00017751356167505783
0.8,2.0,0.00220991450716026
0.4,1.0,0.011503998837567498
0.2,0.5,0.020366417353481214
0.1,0.25,0.025833574840672658
