strategy,rhs_evaluations,mean_step_s,wall_s,energy_drift,modal_energy_ratio
single-integration,93290,0.050226017076845805,1.6514468410168774,3.2909395681890387e-15,1.4553850887510735e-17
frozen-structure,6220,0.8021390374331551,0.11102544300956652,8.366580979126749e-13,9.901962846342783e-07
