R_eff,q_conv,q_rad_published,q_total
0.3,9516280.110076625,5818900.706064983,15335180.81614161
0.30903010033444817,9376212.74457277,5874528.764976157,15250741.509548927
0.3180602006688963,9242153.557211345,5929063.506289892,15171217.063501237
0.32709030100334446,9113684.942423135,5982556.567120354,15096241.50954349
0.33612040133779264,8990428.83324635,6035055.799529182,15025484.632775532
0.3451505016722408,8872042.014905024,6086605.641413415,14958647.65631844
0.35418060200668894,8758212.09989125,6137247.442368874,14895459.542260123
0.3632107023411371,8648654.05695923,6187019.750995646,14835673.807954878
0.3722408026755853,8543107.206138503,6235958.569046873,14779065.775185376
0.3812709030100334,8441332.607582664,6284097.5769535955,14725430.18453626
0.3903010033444816,8343110.784670902,6331468.334546692,14674579.119217593
0.39933110367892977,8248239.7319442965,6378100.460210837,14626340.192155134
0.40836120401337794,8156533.166701712,6424021.791220298,14580554.95792201
0.41739130434782606,8067818.9897989165,6469258.527603088,14537077.517402004
0.42642140468227424,7981937.926696979,6513835.361543269,14495773.288240248
0.4354515050167224,7898742.324333533,6557775.594048833,14456517.918382365
0.44448160535117054,7818095.083131866,6601101.240374903,14419196.323506769
0.4535117056856187,7739868.706567852,6643833.125491202,14383701.832059054
0.4625418060200669,7663944.453301711,6685990.970712304,14349935.424014015
0.47157190635451507,7590211.579045592,6727593.472464396,14317805.051509988
0.48060200668896325,7518566.657154563,6768658.374038347,14287225.03119291
0.48963210702341137,7448912.968459048,6809202.531072995,14258115.499532044
0.49866220735785954,7381159.952150645,6849241.971421405,14230401.923572049
0.5076923076923077,7315222.710630459,6888791.949974385,14204014.660604844
0.5167224080267558,7251021.562162718,6927866.998947711,14178888.56111043
0.525752508361204,7188481.635973096,6966480.97408071,14154962.610053806
0.5347826086956522,7127532.505112968,7004647.097142812,14132179.60225578
0.5438127090301004,7068107.852996022,7042377.995100189,14110485.84809621
0.5528428093645485,7010145.170017242,7079685.736255708,14089830.906272952
0.5618729096989967,6953585.477098765,7116581.863641521,14070167.340740286
0.5709030100334449,6898373.0733830035,7153077.425913695,14051450.499296699
0.579933110367893,6844455.305619312,7189183.005972151,14033638.311591463
0.5889632107023411,6791782.357073721,7224908.747506003,14016691.104579724
0.5979933110367893,6740307.054038094,7260264.379644089,14000571.433682185
0.6070234113712374,6689984.688230456,7295259.239872328,13985243.928102784
0.6160535117056856,6640772.853566718,7329902.295363675,13970675.148930393
0.6250836120401337,6592631.295949407,7364202.16285214,13956833.458801547
0.6341137123745819,6545521.774864036,7398167.127169796,13943688.902033832
0.6431438127090301,6499407.935701708,7431805.158554345,13931213.094256055
0.6521739130434783,6454255.191839132,7465123.928824907,13919379.12066404
0.6612040133779264,6410030.615606882,7498130.8265145365,13908161.442121418
0.6702341137123746,6366702.837364817,7530832.971040087,13897535.808404904
0.6792642140468228,6324241.951981766,7563237.225982737,13887479.177964503
0.688294314381271,6282619.4320859155,7595350.211545998,13877969.643631913
0.6973244147157192,6241808.0475141425,7627178.316252292,13868986.363766436
0.7063545150501672,6201781.790443482,7658727.707933775,13860509.498377256
0.7153846153846154,6162515.80573703,7690004.344068513,13852520.149805542
0.7244147157190636,6123986.326080436,7721013.981508678,13845000.307589114
0.7334448160535116,6086170.61152442,7751762.185643667,13837932.797168087
0.7424749163879598,6049046.893083883,7782254.339037499,13831301.232121382
0.751505016722408,6012594.32007586,7812495.649576612,13825089.969652472
0.7605351170568562,5976792.910906834,7842491.158161404,13819284.069068238
0.7695652173913043,5941623.507045579,7872245.745972101,13813869.253017679
0.7785953177257525,5907067.729940668,7901764.141337259,13808831.871277926
0.7876254180602007,5873107.940662535,7931050.926230924,13804158.86689346
0.7966555183946489,5839727.202068823,7960110.542422607,13799837.74449143
0.805685618729097,5806909.243308622,7988947.297302244,13795856.540610867
0.8147157190635452,5774638.426496643,8017565.3694008505,13792203.795897493
0.8237458193979934,5742899.715402276,8045968.813625891,13788868.529028166
0.8327759197324416,5711678.646011124,8074161.566229078,13785840.212240202
0.8418060200668898,5680961.298828091,8102147.449523032,13783108.748351123
0.8508361204013377,5650734.272801574,8129930.176362018,13780664.449163593
0.8598662207357859,5620984.660757792,8157513.354400973,13778498.015158765
0.8688963210702341,5591700.02624297,8184900.4901459515,13776600.516388921
0.8779264214046822,5562868.3816790115,8212094.992808295,13774963.374487307
0.8869565217391304,5534478.167745516,8239100.177973938,13773578.345719453
0.8959866220735786,5506518.233907587,8265919.271098499,13772437.505006086
0.9050167224080268,5478977.820014942,8292555.410838108,13771533.230853051
0.914046822742475,5451846.538903359,8319011.652225218,13770858.191128578
0.9230769230769231,5425114.359934544,8345290.96969813,13770405.329632673
0.9321070234113713,5398771.593415221,8371396.259992257,13770167.853407478
0.9411371237458195,5372808.875840435,8397330.344900759,13770139.220741194
0.9501672240802677,5347217.155910061,8423095.973911645,13770313.129821707
0.9591973244147158,5321987.681271068,8448695.826727936,13770683.507999003
0.968227424749164,5297111.985941464,8474132.51567722,13771244.501618683
0.977257525083612,5272581.878374853,8499408.588016318,13771990.466391172
0.9862876254180601,5248389.430127418,8524526.528136661,13772915.958264079
0.9953177257525083,5224526.965091703,8549488.759675434,13774015.724767137
1.0043478260869565,5200987.049264009,8574297.647537405,13775284.696801413
1.0133779264214047,5177762.481014416,8598955.49983191,13776717.980846325
1.0224080267558529,5154846.281830509,8623464.56972935,13778310.851559859
1.031438127090301,5132231.687507814,8647827.057241173,13780058.744748987
1.0404682274247492,5109912.139761648,8672045.110927146,13781957.250688795
1.0494983277591974,5087881.278236812,8696120.8295335,13784002.107770313
1.0585284280936456,5066132.932892968,8720056.263565322,13786189.196458291
1.0675585284280937,5044661.116745047,8743853.416796336,13788514.533541383
1.076588628762542,5023460.018939259,8767514.247719124,13790974.266658384
1.08561872909699,5002523.998146529,8791040.670938568,13793564.669085097
1.0946488294314383,4981847.576256315,8814434.55851122,13796282.134767536
1.1036789297658862,4961425.432354786,8837697.7412331,13799123.173587885
1.1127090301003344,4941252.396972332,8860832.009878347,13802084.406850679
1.1217391304347826,4921323.446586294,8883839.116390942,13805162.562977236
1.1307692307692307,4901633.698365625,8906720.775031678,13808354.473397303
1.139799331103679,4882178.405145004,8929478.66348238,13811657.068627384
1.148829431438127,4862952.950616674,8952114.423909275,13815067.37452595
1.1578595317725753,4843952.844728895,8974629.663987406,13818582.5087163
1.1668896321070235,4825173.719280679,8997025.957887715,13822199.677168394
1.1759197324414716,4806611.3237029,9019304.847228482,13825916.170931382
1.1849498327759198,4788261.521016602,9041467.841992693,13829729.363009296
1.193979933110368,4770120.283959742,9063516.421412738,13833636.705372479
1.2030100334448162,4752183.69127413,9085452.034823915,13837635.726098046
1.2120401337792643,4734447.924144821,9107276.10248802,13841724.026632842
1.2210702341137125,4716909.262784595,9128990.016388277,13845899.279172871
1.2301003344481607,4699564.083156586,9150595.140996864,13850159.22415345
1.2391304347826086,4682408.853828528,9172092.814016106,13854501.667844635
1.2481605351170568,4665440.132952392,9193484.347094493,13858924.480046885
1.257190635451505,4648654.56536356,9214771.026518462,13863425.591882022
1.2662207357859532,4632048.87979399,9235954.113881053,13868002.993675044
1.2752508361204014,4615619.886194106,9257034.846728245,13872654.732922351
1.2842809364548495,4599364.473158438,9278014.439183962,13877378.9123424
1.2933110367892977,4583279.6054503005,9298894.082554558,13882173.688004859
1.3023411371237459,4567362.321621031,9319674.94591359,13887037.267534621
1.311371237458194,4551609.731719552,9340358.17666767,13891967.908387221
1.3204013377926422,4536019.015088238,9360944.901104122,13896963.91619236
1.3294314381270904,4520587.418241259,9381436.224921169,13902023.643162427
1.3384615384615386,4505312.252821796,9401833.233741287,13907145.486563083
1.3474916387959868,4490190.893634661,9422136.993608395,13912327.887243055
1.356521739130435,4475220.776751087,9442348.551469488,13917569.328220576
1.3655518394648831,4460399.3976825485,9462468.935641332,13922868.333323881
1.3745819397993313,4445724.309620676,9482499.156262694,13928223.46588337
1.3836120401337795,4431193.121740457,9502440.20573275,13933633.327473206
1.3926421404682274,4416803.497564054,9522293.059136104,13939096.556700159
1.4016722408026756,4402553.153382676,9542058.674654964,13944611.82803764
1.4107023411371238,4388439.856734113,9561737.9939689,13950177.850703012
1.419732441471572,4374461.4249336105,9581331.942642657,13955793.367576268
1.4287625418060201,4360615.723655898,9600841.430502461,13961457.15415836
1.4377926421404683,4346900.665566267,9620267.352001216,13967168.017567484
1.4468227424749165,4333314.208998724,9639610.586572984,13972924.795571707
1.4558528428093647,4319854.3566793,9658871.998977138,13978726.355656438
1.4648829431438128,4306519.154492722,9678052.439632554,13984571.594125275
1.473913043478261,4293306.690290698,9697152.744942173,13990459.43523287
1.4829431438127092,4280215.092740177,9716173.737608293,13996388.83034847
1.4919732441471574,4267242.530210017,9735116.22693887,14002358.757148888
1.5010033444816056,4254387.20969453,9753981.009145193,14008368.218839724
1.5100334448160537,4241647.375772497,9772768.867631167,14014416.243403664
1.519063545150502,4229021.309600273,9791480.573274536,14020501.88287481
1.5280936454849499,4216507.327937651,9810116.884700313,14026624.212637965
1.537123745819398,4204103.782205261,9828678.548546609,14032782.33075187
1.5461538461538462,4191809.057572288,9847166.299723241,14038975.35729553
1.5551839464882944,4179621.572073363,9865580.861663232,14045202.433736594
1.5642140468227426,4167539.7757535377,9883922.946567519,14051462.722321056
1.5732441471571907,4155562.1498402967,9902193.255643055,14057755.405483352
1.582274247491639,4143687.2059415793,9920392.479334518,14064079.685276099
1.591304347826087,4131913.485268887,9938521.29754988,14070434.782818766
1.6003344481605353,4120239.5578845246,9956580.379879942,14076819.937764466
1.6093645484949834,4108664.021972103,9974570.385812147,14083234.40778425
1.6183946488294316,4097185.503129469,9992491.964938723,14089677.468068192
1.6274247491638798,4085802.6536832363,10010345.757159472,14096148.410842707
1.636454849498328,4074514.1520241527,10028132.392879238,14102646.54490339
1.6454849498327762,4063318.7019625506,10045852.493200341,14109171.195162892
1.654515050167224,4052215.0321031837,10063506.670110034,14115721.702213217
1.6635451505016723,4041201.895238736,10081095.526663218,14122297.421901954
1.6725752508361205,4030278.0677613844,10098619.65716049,14128897.724921875
1.6816053511705686,4019442.3490917464,10116079.647321742,14135521.996413488
1.6906354515050168,4008693.5611246354,10133476.07445536,14142169.635579996
1.699665551839465,3998030.5476910374,10150809.507623233,14148840.05531427
1.7086956521739132,3987452.174035732,10168080.507801678,14155532.68183741
1.7177257525083613,3976957.3263100535,10185289.628038332,14162246.954348385
1.7267558528428095,3966544.9110792493,10202437.413605282,14168982.32468453
1.7357859531772577,3956213.854843957,10219524.402148366,14175738.256992323
1.7448160535117059,3945963.1035753204,10236551.12383291,14182514.22740823
1.753846153846154,3935791.6222632895,10253518.101485899,14189309.723749189
1.7628762541806022,3925698.394477652,10270425.85073477,14196124.245212423
1.7719063545150504,3915682.4219414014,10287274.880142845,14202957.302084247
1.7809364548494984,3905742.7241160045,10304065.691341555,14209808.41545756
