N_MC,n_groups,mean_cep,rse_empirical,rse_predicted
250,128,264.2158898920158,0.03712464322128135,0.044721359549995794
500,64,264.3848420954098,0.02738521732929515,0.03162277660168379
1000,32,264.5379619464049,0.016003022040016888,0.022360679774997897
2000,16,264.56936320875684,0.009077134148297967,0.015811388300841896
4000,8,264.5945644737566,0.0073473101258562205,0.011180339887498949
