n_modes,omega_max,rhs_evaluations,wall_s
2,730.4828611384098,727,0.19293345301412046
3,1432.0404191957655,726,0.19496997602982447
4,2366.8828629323802,715,0.1956848920090124
5,3534.7375523842366,713,0.19570381299126893
6,4972.902681775679,721,0.20315187401138246
