time_s,altitude_m,dynamic_pressure_Pa,heat_flux_W_m2,wall_temperature_K,recession_m,effective_radius_m
43.0,78259.48865588102,2642.3461785517316,149025.06659260785,736.3494928585436,0.0001893018800082939,0.3001893018800083
44.0,77221.5157077508,2986.4972900172797,158480.41029872003,761.2400286074737,0.00020134995359164345,0.30020134995359166
45.0,76180.53664356936,3376.607876487673,168560.93111853115,787.9586071865963,0.00021405602426529007,0.30021405602426526
46.0,75136.56102460343,3818.947259538038,179308.73793807466,816.8581216931238,0.00022743893161499018,0.30022743893161496
47.0,74089.59972028341,4320.6534989379115,190768.67318278213,848.366726278354,0.00024151056727669595,0.30024151056727666
48.0,73039.66509139352,4889.854524303687,202988.4518321704,882.9685133192254,0.0002562722805146961,0.30025627228051466
49.0,71986.77119926829,5535.80594759812,216018.7976624612,921.155519052746,0.0002717102499389232,0.30027171024993893
50.0,70930.93404472712,6269.0477306713265,229913.57358909448,963.3392169395805,0.00028779004780531294,0.3002877900478053
51.0,69872.17184094712,7101.582118571223,244729.9018813099,1009.7334063790871,0.0003044511524960612,0.30030445115249604
52.0,68810.5053250948,8047.075494580074,260528.26838728483,1060.1573759648381,0.0003216031579141454,0.3003216031579141
53.0,67745.95811422821,9121.08706014538,277372.60003642325,1113.3084970008808,0.00033913228495023514,0.30033913228495024
54.0,66678.55711164977,10341.327482043933,295330.29179384327,1165.4532826842544,0.0003569458112392878,0.3003569458112393
55.0,65608.33297087438,11727.95086519505,314472.16222886107,1212.1293305749646,0.0003750580675924204,0.3003750580675924
56.0,64535.32062501367,13303.88358291683,334872.3898381982,1253.8791432000132,0.0003935806348520479,0.30039358063485205
57.0,63459.559891032055,15095.19359497184,356608.4545274242,1294.4789592743964,0.00041258322002860764,0.3004125832200286
58.0,62381.09615862183,17131.503875373233,379760.96183216444,1336.0667672274728,0.00043204399510705785,0.30043204399510703
59.0,61299.981175484136,19446.45339410043,404413.30732589675,1378.9960243306184,0.0004518902407094513,0.30045189024070945
60.0,60216.27394179627,22078.208689193074,430651.19423681503,1422.778379219557,0.00047203791052799623,0.300472037910528
61.0,59130.04172823951,25070.028330553992,458561.97648007266,1466.5364236834116,0.0004924207414134711,0.30049242074141347
62.0,58041.36123316828,28470.881401729966,488233.77992648963,1509.1069273543806,0.0005130199199298074,0.3005130199199298
63.0,56950.31989718508,32336.119345446932,519754.3686990274,1549.968529419728,0.0005338759785194987,0.3005338759785195
64.0,55857.017393507995,36728.197970196445,553209.7306845939,1589.3221730488085,0.0005550566469261404,0.3005550566469261
65.0,54761.56731621083,41717.44281411981,588682.3050246674,1628.0801929354177,0.0005766117953669704,0.30057661179536693
66.0,53664.09908358846,47382.846247425565,626248.7856457374,1667.5972163319955,0.0005985174139062557,0.30059851741390625
67.0,52564.76008975878,53812.877960995924,665977.3956444963,1709.117987049494,0.0006206355183521863,0.30062063551835216
68.0,51463.71812023688,61106.28210945839,707924.5034877392,1753.0360623065894,0.0006427220183815648,0.30064272201838155
69.0,50361.1640564464,69372.82317711045,752130.4207487075,1798.038400942429,0.0006645165599833462,0.30066451655998333
70.0,49257.31489631254,78733.92852219444,798614.1743418267,1840.4333384950057,0.0006859614604300605,0.30068596146043003
71.0,48152.41710917745,89323.15818297124,847367.241173523,1876.707440084315,0.0007074334892482738,0.3007074334892483
72.0,47046.75034251902,101286.41126905415,898346.8351144354,1908.365807902512,0.0007295203476762323,0.3007295203476762
73.0,45940.6314908769,114781.75316206695,951468.6572723502,1939.109405066541,0.0007525274558748057,0.3007525274558748
74.0,44834.41912753042,129978.71900928787,1006598.064709541,1970.596078524091,0.0007764435392364683,0.30077644353923644
75.0,43728.518286176026,147056.91747486356,1063539.8429205143,2002.9355725583528,0.0008011353711353216,0.3008011353711353
76.0,42623.38556125015,166203.72626431918,1122027.1649667122,2035.7534152661929,0.0008264528781945043,0.3008264528781945
77.0,41519.53446979821,187610.8407571342,1181710.0256140283,2068.5536893889957,0.000852263941074692,0.30085226394107467
78.0,40417.540992756374,211469.41396365233,1242143.5447163638,2100.8141758297966,0.0008784678697414375,0.30087846786974143
79.0,39318.04916415736,237963.51774568387,1302776.794969547,2132.0211249712584,0.0009050021647733164,0.3009050021647733
80.0,38221.77654193621,267261.67097553913,1362943.0917737982,2161.7007128242603,0.0009318440467319386,0.3009318440467319
81.0,37129.51933265943,299506.2331789359,1421852.9891052626,2189.4678729327984,0.000959003302057163,0.30095900330205716
82.0,36042.156885843724,334800.5660569922,1478591.5278776535,2215.0676197311764,0.0009865031179646334,0.3009865031179646
83.0,34960.65520841256,373194.03619526833,1532121.54045055,2238.3836650622175,0.0010143511591761522,0.30101435115917613
84.0,33886.06908112671,414665.18296691607,1581294.966076256,2259.373806034588,0.0010425106059042215,0.3010425106059042
85.0,32819.54231591616,459103.7017594635,1624874.0589221127,2277.990178105569,0.0010708846396110788,0.30107088463961107
86.0,31762.30570449494,506292.3076901162,1661564.1633937529,2294.1154395115773,0.0010993155059071723,0.3010993155059072
87.0,30715.67211079877,555889.9971648775,1690059.036435781,2307.5332194274406,0.0011275984849045452,0.30112759848490456
88.0,29681.027097424492,607418.7764840712,1709098.86524316,2317.9695527942454,0.001155497383322969,0.301155497383323
89.0,28659.818466098048,660255.7969306026,1717538.3925649454,2325.114422066587,0.0011827596503340924,0.3011827596503341
90.0,27653.538763214834,713633.8960367846,1714423.0324340498,2328.6583835063784,0.0012091294518713428,0.30120912945187134
91.0,26663.705261311494,766652.3398053529,1699066.0991534865,2328.3441746334693,0.001234354599782232,0.3012343545997822
92.0,25691.83567760978,818299.6066420431,1671120.326648457,2323.9933970720945,0.0012581887560061198,0.30125818875600613
93.0,24739.420539141633,867488.6922729445,1630634.9462476212,2315.529885625956,0.0012803920098485456,0.3012803920098485
94.0,23807.89317946229,913103.936821541,1578089.8021030845,2302.9935466905827,0.0013007292221983331,0.3013007292221983
95.0,22898.59856664203,954056.6837439237,1514399.6218468875,2286.4993657723003,0.0013189758588747313,0.30131897585887474
96.0,22012.762259377167,989345.3769683784,1440884.5112144672,2266.2417790994446,0.0013349279754849871,0.301334927975485
97.0,21151.461519896984,1018114.4189242662,1359206.9915069668,2242.4351201898353,0.001348416810709336,0.30134841681070934
98.0,20315.59993797168,1039705.6812018891,1271280.5637056048,2215.198048010327,0.0013593367508516851,0.3013593367508517
99.0,19505.887170805596,1053697.0038833723,1179158.9329563107,2184.3884731543194,0.001367691776369182,0.3013676917763692
100.0,18722.82494532317,1059923.4785562675,1084917.8140637483,2149.605585183055,0.0013736469566351349,0.3013736469566351
101.0,17966.7000375418,1058479.4932891163,990542.0471826658,2110.8088285556278,0.001377511998785632,0.3013775119987856
102.0,17237.584412257187,1049701.9978206204,897829.1968972584,2068.874376436533,0.0013796047169352787,0.30137960471693526
103.0,16535.342207459733,1034137.7643206593,808317.341967691,2024.948061260836,0.0013801585769091986,0.3013801585769092
104.0,15859.642766755074,1012499.1221166932,723240.0284813241,1979.8443798997864,0.0013801585453857297,0.30138015854538575
105.0,15209.978630284779,985613.5148786793,643512.3002191269,1934.150167422905,0.00138015854591069,0.30138015854591066
106.0,14585.687055317685,954372.1482670484,569739.4483103144,1888.3547857456,0.0013801585458971981,0.30138015854589717
107.0,13985.973813717254,919682.2908853509,502244.23678504105,1842.8839577237468,0.0013801585458944156,0.3013801585458944
108.0,13409.93782470841,882426.4934214691,441107.4140177082,1798.1086517439078,0.0013801585458950022,0.301380158545895
109.0,12856.59548392333,843430.6129804928,386214.3534183063,1754.3462143122135,0.00138015854589564,0.3013801585458956
110.0,12324.90385800507,803441.2513276646,337302.52307687694,1711.85981844136,0.0013801585458964208,0.3013801585458964
