N_T,t_err_rel,rho_err_rel,s_err_m
6,1.9952057747711176e-06,7.892181769951397e-06,2.710505431213761e-19
8,1.8079964547723647e-08,7.895027162400463e-08,2.168404344971009e-19
10,8.664623389146679e-11,3.7758923099318053e-10,1.0842021724855044e-19
12,1.1700270382182982e-12,5.301596199084694e-12,2.710505431213761e-19
16,2.652692880171041e-15,1.0123812899109907e-12,5.421010862427522e-20
20,3.789561257387201e-15,2.1425705654110062e-12,1.6263032587282567e-19
